Title;|=*?*=|ProjectId;|=*?*=|MainProjectId;|=*?*=|ShortDescription;|=*?*=|Outcome;|=*?*=|DeveloperName;|=*?*=|DemoLink;|=*?*=|GitHubLink;|=*?*=|ShowItem;|=*?*=|ShowProgressBar;|=*?*=|PriorityCalculation;|=*?*=|HasDemo;|=*?*=|PriorityNumber;|=*?*=|Impact;|=*?*=|Urgency;|=*?*=|EaseOffSuccess;|=*?*=|PersonalPreference;|=*?*=|Progress;|=*?*=|TotalHours;|=*?*=|TheoreticalHours;|=*?*=|PracticalHours;|=*?*=|GeneralHours;|=*?*=|DateCreated;|=*?*=|DateDoing;|=*?*=|DateDone;|=*?*=|ProjectStatus;|=*?*=|Challenges;|=*?*=|FutureAdditions;|=*?*=|TimeUnitsPutIn;|=*?*=|SubProjectIds
Learn the basics HTML_CSS_JavaScript;|=*?*=|a2802ea2-b893-4486-8840-05e924089f46;|=*?*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19;|=*?*=|Het leren van de basis concepten van HTML/CSS/JavaScript .;|=*?*=|Dit is nodig om verder te gaan in het vak webdeveloper.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9281;|=*?*=|9;|=*?*=|8;|=*?*=|5;|=*?*=|2;|=*?*=|0;|=*?*=|5;|=*?*=|0;|=*?*=|5;|=*?*=|0;|=*?*=|11/10/2021 12:55:12;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|afc09525-646b-454e-a6bf-d3b32d092087;|=*?*=|
Leerpad;|=*?*=|a84d7ed0-0595-4fde-a4b7-7c4c3729ebcc;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|191;|=*?*=|180;|=*?*=|6;|=*?*=|5;|=*?*=|04/10/2021 14:43:53;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06|=*!*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634|=*!*=|0fc48ffd-82d6-4f6b-9196-4acb3c7d5c7f
MBO 4 Software developer;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|a84d7ed0-0595-4fde-a4b7-7c4c3729ebcc;|=*?*=|Een opleiding op MBO 4 niveau waarin ik leer wat er bij het vak software developer komt kijken en hoe ik het toe kan passen en welke valkuilen er zijn.;|=*?*=|Een brede basis leggen om op te kunnen bouwen zodat ik door kan groeien naar HBO en daarna een Bachelor.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9809;|=*?*=|8;|=*?*=|6;|=*?*=|1;|=*?*=|4;|=*?*=|33;|=*?*=|191;|=*?*=|180;|=*?*=|6;|=*?*=|5;|=*?*=|04/10/2021 14:33:16;|=*?*=|04/10/2021 14:35:18;|=*?*=|04/10/2021 14:35:01;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|84cb2068-f98b-4f62-b111-9dbd1e7f487b|=*!*=|77645656-3458-47c9-8df0-3f49f455ffd6;|=*?*=|d05b4980-10f5-43fb-bcd2-c70d19cab038|=*!*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19|=*!*=|f62d99f5-6540-49a8-90d7-328718b68d18
Microsoft Azure fundamentals (AZ-900);|=*?*=|b4acbdc1-00c1-4bd4-b1d6-12e7a07a2e02;|=*?*=|0fc48ffd-82d6-4f6b-9196-4acb3c7d5c7f;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 11:02:23;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Microsoft introduction to programming (M10975);|=*?*=|c76356b7-1381-4f6a-a7db-cc2759457443;|=*?*=|0fc48ffd-82d6-4f6b-9196-4acb3c7d5c7f;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 11:01:37;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Microsoft Programming in C# (M20843);|=*?*=|85980512-a049-4d58-944b-bd0891653909;|=*?*=|0fc48ffd-82d6-4f6b-9196-4acb3c7d5c7f;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 11:04:34;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Portfolio;|=*?*=|92fb1ea2-3f52-4c85-991c-471287a596d7;|=*?*=|42fe23b1-5969-4e47-b878-450b6265bda7;|=*?*=|Een pagina om weer te geven wat mijn kennis is en wie ik ben.;|=*?*=|Het inzicht geven van hoe het programmeren mij bezig houd en hoe serieus ik er in ben.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|6001;|=*?*=|10;|=*?*=|10;|=*?*=|4;|=*?*=|10;|=*?*=|0;|=*?*=|54;|=*?*=|0;|=*?*=|54;|=*?*=|0;|=*?*=|07/10/2021 17:49:35;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201
Portfolio MVP;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|92fb1ea2-3f52-4c85-991c-471287a596d7;|=*?*=|Een pagina om inzichtelijk te maken waar ik mee bezig ben en wat ik kan en heb geleerd.;|=*?*=|Een werkende basis applicatie neer te zetten waar in ik bij kan houden wat ik aan het doen ben en hoe veel uren ik bezig ben.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|5001;|=*?*=|10;|=*?*=|10;|=*?*=|5;|=*?*=|10;|=*?*=|50;|=*?*=|54;|=*?*=|0;|=*?*=|54;|=*?*=|0;|=*?*=|05/10/2021 15:37:10;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|Create a list per project with all relevant sub projects|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|8b4ddc1f-eb3a-4323-98f6-3e782515ea63|=*!*=|e9862192-0206-41fe-b32d-3a47a2798aa4|=*!*=|93c12604-3f79-49ea-85cb-b40dec50ce32|=*!*=|87210da8-26e5-4c05-bdad-f4c296def048|=*!*=|bbf397ec-4440-47c9-8e8d-a9c075cd1245|=*!*=|2d41bbc9-3d38-4a8a-baa8-84ea23ba46b9|=*!*=|049319e3-56d4-42ac-abf7-06bba75cdd05|=*!*=|f12b4fdb-c535-4634-8f55-8f38288f118d|=*!*=|9aa44f66-375c-4254-8748-6f1f67e8e6b5|=*!*=|288a09a2-4244-425a-93dc-d929fa92cf47|=*!*=|c5807d6a-e85e-4480-be01-a319152250dc;|=*?*=|
Progress application;|=*?*=|82fa1425-30f3-44b4-8344-61d22daf438c;|=*?*=|42fe23b1-5969-4e47-b878-450b6265bda7;|=*?*=|Een applicatie waar ik mijn projecten in bij kan houden en waar ik mijn uren in bij kan houden.;|=*?*=|Het registreren van mijn activiteiten en het inzichtelijk maken van mijn voortgang.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|7001;|=*?*=|10;|=*?*=|10;|=*?*=|3;|=*?*=|10;|=*?*=|0;|=*?*=|101;|=*?*=|0;|=*?*=|101;|=*?*=|0;|=*?*=|07/10/2021 17:46:07;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b
Progress Application Backend MVP;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|82fa1425-30f3-44b4-8344-61d22daf438c;|=*?*=|Een applicatie waar ik mijn projecten in bij kan houden en waar ik mijn uren in bij kan houden.;|=*?*=|Het registreren van mijn activiteiten en het inzichtelijk maken van mijn voortgang.;|=*?*=|Victor Looren de Jong;|=*?*=|Demo link here;|=*?*=|Github link here;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|True;|=*?*=|6001;|=*?*=|10;|=*?*=|10;|=*?*=|4;|=*?*=|10;|=*?*=|50;|=*?*=|101;|=*?*=|0;|=*?*=|101;|=*?*=|0;|=*?*=|05/10/2021 15:37:45;|=*?*=|05/10/2021 15:39:25;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|(Solved) Een menu aan de zijkant maken in razor pages|=*&*=||=*!*=|https://startbootstrap.com/template/simple-sidebar|=*!*=|Neem uit het gedownloade bestand het menu over uit de web pagina|=*$*=|(Solved) Foto toevoegen aan een project|=*&*=||=*!*=|https://www.youtube.com/watch?v=k_LaBr-liCk|=*!*=|https://csharp-video-tutorials.blogspot.com/2020/01/file-upload-in-aspnet-core-razor-pages_8.html|=*!*=|https://www.learnrazorpages.com/razor-pages/forms/file-upload|=*$*=|(Solved) Het opslaan op meerdere locaties  via json file (Bij ontbreken maak file en folder aan)|=*&*=||=*!*=|Directory.CreateDirectory(filePath);|=*!*=|File.Create(filePath)|=*$*=|(Solved) Maak de zoek opdrachten zo dat ze gedeeltelijke woorden match geven |=*&*=||=*!*=|gebruik .Contains in zoek opdracht|=*$*=|1 Future additions worden ergens niet opgeslagen|=*&*=||=*!*=|zoek het in een verse start|=*!*=|Iedere save in de gaten houden |=*$*=|2 Circular project pointers in main sub projects|=*&*=||=*!*=|Maak een lijst met alle boven liggende project ids|=*!*=|Maak een lijst met alle onderliggende ids|=*!*=|3 Ga deze met elkaar vergelijken wanneer er een dubbele in zit is er een circulaire verwijzing|=*$*=|3 Bij project verschuivingen tijd overdracht gaat mis (waarschijnlijk heeft totale uren hier geen last van)|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Mainproject niet actief bij toevoegen time unit via Add time unit aan subproject|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|Commentaar opslaan bij een tijd eenheid|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|Maak een index pagina met overzicht van de vooruitgang|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|Maandelijkse rapportage email|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|Meerdere items versturen via asp-route maken zoals het hoort|=*&*=||=*!*=|Dictionary management page|=*!*=|Dictionary management|=*!*=|Zoek naar delimiter in cshtml ;|=*?*=|f8a542fd-01f7-4674-bfc5-6b066b305208|=*!*=|078579ee-98be-4ed1-a7dd-c8aea4a1f9b1|=*!*=|4ebd75ba-9cee-4d08-9ddc-17f85e2a312d|=*!*=|a826e651-db52-4804-9ae0-053b5993db2e|=*!*=|b9f36ab1-80c6-464c-b2c9-c2d22c375d7f|=*!*=|8597afdc-af56-4597-b2f9-56a2862c1ffa|=*!*=|ac669212-f7b6-4eec-bdc8-63fac25093f2|=*!*=|50c695bc-c4cf-41a4-85e7-6f5ab6b75d01|=*!*=|669d7746-9131-4867-a063-9e176c6b5cb5|=*!*=|99cd5cf6-8d39-4333-8d75-8c44965db4c3|=*!*=|013aa911-9725-4892-abe5-e8f9ba328cc7;|=*?*=|
