ProjectTitle;|=*?*=|TimeUnitId;|=*?*=|HoursPutIn;|=*?*=|Classification;|=*?*=|ProjectId;|=*?*=|TimeStamp;|=*?*=|
Portfolio MVP;|=*?*=|288a09a2-4244-425a-93dc-d929fa92cf47;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|19/10/2021 11:13:09 AM
Portfolio MVP;|=*?*=|27e9cff3-78ea-4819-b2f1-e096f97894e8;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|19/10/2021 12:00:00 AM
Progress Application Backend MVP;|=*?*=|99cd5cf6-8d39-4333-8d75-8c44965db4c3;|=*?*=|4;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|18/10/2021 05:19:57 PM
Progress Application Backend MVP;|=*?*=|669d7746-9131-4867-a063-9e176c6b5cb5;|=*?*=|1;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|18/10/2021 12:16:03 PM
MBO 4 Software developer;|=*?*=|77645656-3458-47c9-8df0-3f49f455ffd6;|=*?*=|1;|=*?*=|2;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|18/10/2021 11:26:17 AM
Portfolio MVP;|=*?*=|9aa44f66-375c-4254-8748-6f1f67e8e6b5;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|15/10/2021 07:12:48 PM
Progress Application Backend MVP;|=*?*=|50c695bc-c4cf-41a4-85e7-6f5ab6b75d01;|=*?*=|3;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|15/10/2021 07:12:35 PM
Progress Application Backend MVP;|=*?*=|ac669212-f7b6-4eec-bdc8-63fac25093f2;|=*?*=|2;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|15/10/2021 12:38:12 PM
Portfolio MVP;|=*?*=|f12b4fdb-c535-4634-8f55-8f38288f118d;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|14/10/2021 11:20:47 PM
Progress Application Backend MVP;|=*?*=|a826e651-db52-4804-9ae0-053b5993db2e;|=*?*=|4;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|14/10/2021 09:25:23 PM
Progress Application Backend MVP;|=*?*=|4ebd75ba-9cee-4d08-9ddc-17f85e2a312d;|=*?*=|1;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|14/10/2021 04:02:54 PM
Portfolio MVP;|=*?*=|2d41bbc9-3d38-4a8a-baa8-84ea23ba46b9;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|13/10/2021 11:55:38 PM
BecomingAProffesionalDeveloper;|=*?*=|539dc9b5-617d-4fe6-8b58-d7b4dfb0d9b2;|=*?*=|1;|=*?*=|2;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|13/10/2021 08:54:22 PM
Portfolio MVP;|=*?*=|8b4ddc1f-eb3a-4323-98f6-3e782515ea63;|=*?*=|7;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|13/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|e9862192-0206-41fe-b32d-3a47a2798aa4;|=*?*=|11;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|12/10/2021 12:00:00 AM
MBO 4 Software developer;|=*?*=|84cb2068-f98b-4f62-b111-9dbd1e7f487b;|=*?*=|4;|=*?*=|2;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|11/10/2021 12:00:00 AM
Visual Studio Code (VS Code);|=*?*=|e8772f7a-bd27-4443-85eb-848221a886b1;|=*?*=|1;|=*?*=|1;|=*?*=|b298f6e8-a417-49ad-9fa1-7186ea1714f2;|=*?*=|11/10/2021 12:00:00 AM
Learn the basics HTML/CSS/JavaScript;|=*?*=|afc09525-646b-454e-a6bf-d3b32d092087;|=*?*=|5;|=*?*=|1;|=*?*=|a2802ea2-b893-4486-8840-05e924089f46;|=*?*=|08/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|93c12604-3f79-49ea-85cb-b40dec50ce32;|=*?*=|11;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|07/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|87210da8-26e5-4c05-bdad-f4c296def048;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|07/10/2021 12:00:00 AM
Progress Application Backend MVP;|=*?*=|f8a542fd-01f7-4674-bfc5-6b066b305208;|=*?*=|1;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|07/10/2021 12:00:00 AM
Progress Application Backend MVP;|=*?*=|078579ee-98be-4ed1-a7dd-c8aea4a1f9b1;|=*?*=|10;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|06/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|049319e3-56d4-42ac-abf7-06bba75cdd05;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|06/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|bbf397ec-4440-47c9-8e8d-a9c075cd1245;|=*?*=|5;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|05/10/2021 12:00:00 AM
Progress Application Backend MVP;|=*?*=|8597afdc-af56-4597-b2f9-56a2862c1ffa;|=*?*=|3;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|05/10/2021 12:00:00 AM
Laravel;|=*?*=|22fa70e9-a1b7-4566-b1c3-f95369dd687c;|=*?*=|2;|=*?*=|3;|=*?*=|1f7dd766-c5f4-48c7-82b0-7483516887bc;|=*?*=|04/10/2021 12:00:00 AM
Vue.js 2;|=*?*=|c2aa5c08-d402-4e2f-aff9-d429f50b4f49;|=*?*=|3;|=*?*=|3;|=*?*=|8a9658ea-f943-4b8f-a1ed-6670e249b9a1;|=*?*=|04/10/2021 12:00:00 AM
Progress Application Backend MVP;|=*?*=|b9f36ab1-80c6-464c-b2c9-c2d22c375d7f;|=*?*=|70;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|15/09/2021 12:00:00 AM
Agile Scrum;|=*?*=|22d04ce9-03d1-43e7-be24-e979a974abec;|=*?*=|35;|=*?*=|3;|=*?*=|d05b4980-10f5-43fb-bcd2-c70d19cab038;|=*?*=|08/09/2021 12:00:00 AM
Veilig programmeren;|=*?*=|92d33119-9daa-469a-ade3-6dc164428716;|=*?*=|72;|=*?*=|3;|=*?*=|f62d99f5-6540-49a8-90d7-328718b68d18;|=*?*=|17/08/2021 12:00:00 AM
MySQL Server;|=*?*=|2262ce04-89c8-4e8e-a491-4ab1cac70a70;|=*?*=|5;|=*?*=|1;|=*?*=|d0e06c99-7936-412b-869b-4c97e97d077b;|=*?*=|09/08/2021 11:39:52 AM
10. C# Career development;|=*?*=|b80e68cd-9e0e-4229-baa2-26007c2f3d1e;|=*?*=|10;|=*?*=|3;|=*?*=|4dbe9806-6a03-4167-9a84-abd1e8eb6778;|=*?*=|06/08/2021 12:00:00 AM
9. C# Hotel Management applicatie;|=*?*=|ab1589f1-72bf-44d7-ba0c-dc2ea5a941e4;|=*?*=|75;|=*?*=|1;|=*?*=|346776cc-957a-4e14-bbb8-25151df42915;|=*?*=|04/08/2021 12:00:00 AM
Comptia Linux +;|=*?*=|d36d6e71-e3e9-40b1-94ff-e3248e451996;|=*?*=|82;|=*?*=|3;|=*?*=|34519961-e4ad-440c-b926-9bb93c961fae;|=*?*=|26/06/2021 12:00:00 AM
8. C# Data Access;|=*?*=|89b7b9b2-a8e0-423e-ab0e-c263c0010ff5;|=*?*=|225;|=*?*=|1;|=*?*=|49a1f6f1-f03b-4869-9267-56cdd2432ace;|=*?*=|30/05/2021 12:00:00 AM
Ontwerp en ontwikkeling van informatiesystemen;|=*?*=|528392ad-e983-4150-bf2c-6b9112e69141;|=*?*=|77;|=*?*=|3;|=*?*=|1c7b5a6a-fdb3-4c2c-8654-2c002dc1d7a4;|=*?*=|08/05/2021 12:00:00 AM
Ontwerp en ontwikkeling van informatiesystemen;|=*?*=|963431de-4792-4c9c-aa4f-be856c425876;|=*?*=|77;|=*?*=|3;|=*?*=|1c7b5a6a-fdb3-4c2c-8654-2c002dc1d7a4;|=*?*=|17/04/2021 12:00:00 AM
7. C# Common Project Types;|=*?*=|3e3f4a2d-e3e2-4247-8031-b102150ca59a;|=*?*=|45;|=*?*=|1;|=*?*=|70ac46a1-1adb-4d89-9c37-7c35d352c030;|=*?*=|18/03/2021 12:00:00 AM
